id	action	action_type	privacy	status
1	A bit Drunk	1	1	1
2	Act Surprised	1	1	1
3	Act Suspicious	1	1	1
4	Annoying Mathmatician	1	1	1
5	Annoyingly Philosophical	1	1	1
6	Are you mad?	1	1	1
7	Be nosy	1	1	1
8	Be Overly Kind	1	1	1
9	Be Overly Polite	1	1	1
10	Be Calm	1	1	1
11	Confuse a pilot with a driver	1	1	1
12	Don't answer questions 	1	1	1
13	Forget Each Others Names	1	1	1
14	I don't get it	1	1	1
15	I have a headache	1	1	1
16	I shred all documents	1	1	1
17	I will email you that later	1	1	1
18	Less Confidence 	1	1	1
19	Start being Shallow	1	1	1
20	Thing I am Disorganised	1	1	1
21	Trust too much	1	1	1
22	You don't know what a plane is.	1	1	1
23	You Have Just Met	1	1	1
