id	chat_id	action_id	action_order	action_period	description	privacy	order	status
1	1	2	1	48167		1	1	1
2	1	3	2	46201		1	1	1
3	1	4	3	31784		1	1	1
4	1	5	4	34688		1	1	1
5	1	6	5	53048		1	1	1
6	1	7	6	34066		1	1	1
7	1	8	7	51393		1	1	1
8	1	9	8	43786		1	1	1
9	1	10	9	38561		1	1	1
10	1	11	10	53346		1	1	1
11	1	12	11	49210		1	1	1
12	1	13	12	44442		1	1	1
13	1	14	13	48381		1	1	1
14	1	15	14	39034		1	1	1
15	1	16	15	38349		1	1	1
16	1	17	16	35282		1	1	1
17	1	18	17	39842		1	1	1
18	1	19	18	37578		1	1	1
19	1	20	19	48527		1	1	1
20	1	21	20	36939		1	1	1
21	1	22	21	30992		1	1	1
22	1	23	22	52078		1	1	1
23	1	24	23	42022		1	1	1
24	1	25	24	51458		1	1	1
25	1	26	25	45689		1	1	1
26	1	27	26	37619		1	1	1
27	1	28	27	30092		1	1	1
28	1	29	28	46464		1	1	1
29	1	30	29	44786		1	1	1
30	1	31	30	38317		1	1	1
31	1	32	31	49348		1	1	1
32	1	33	32	38359		1	1	1
33	1	34	33	54567		1	1	1
34	1	35	34	42669		1	1	1
35	1	36	35	33927		1	1	1
36	1	37	36	42312		1	1	1
37	1	38	37	54751		1	1	1
38	1	39	38	32407		1	1	1
39	1	41	39	49849		1	1	1
40	1	42	40	53354		1	1	1
41	1	43	41	54265		1	1	1
42	1	44	42	38171		1	1	1
43	1	45	43	33122		1	1	1
44	1	46	44	33063		1	1	1
45	1	47	45	42155		1	1	1
46	1	48	46	38874		1	1	1
47	1	49	47	36163		1	1	1
48	1	50	48	49461		1	1	1
49	1	51	49	45537		1	1	1
50	1	52	50	30231		1	1	1
51	1	53	51	39121		1	1	1
52	1	54	52	52558		1	1	1
53	1	55	53	34780		1	1	1
54	1	56	54	30581		1	1	1
55	1	57	55	36004		1	1	1
56	1	58	56	37103		1	1	1
57	1	59	57	47667		1	1	1
58	1	60	58	33919		1	1	1
59	1	61	59	45218		1	1	1
60	1	62	60	31433		1	1	1
61	1	63	61	44189		1	1	1
62	1	64	62	50932		1	1	1
63	1	65	63	30550		1	1	1
64	1	66	64	49715		1	1	1
65	1	67	65	34308		1	1	1
66	1	68	66	44304		1	1	1
67	1	69	67	47907		1	1	1
68	1	70	68	42665		1	1	1
69	1	71	69	52581		1	1	1
70	1	72	70	35819		1	1	1
71	1	73	71	35544		1	1	1
72	2	2	72	32208		1	1	1
73	2	7	73	49773		1	1	1
74	2	8	74	49919		1	1	1
75	2	9	75	48202		1	1	1
76	2	10	76	31973		1	1	1
77	2	11	77	36625		1	1	1
78	2	14	78	54444		1	1	1
79	2	15	79	31358		1	1	1
80	2	17	80	39268		1	1	1
81	2	18	81	38805		1	1	1
82	2	19	82	43106		1	1	1
83	2	20	83	31111		1	1	1
84	2	23	84	31741		1	1	1
85	2	28	85	37798		1	1	1
86	2	30	86	51089		1	1	1
87	2	32	87	33779		1	1	1
88	2	36	88	52951		1	1	1
89	2	39	89	50155		1	1	1
90	2	41	90	33194		1	1	1
91	2	43	91	52439		1	1	1
92	2	44	92	37981		1	1	1
93	2	45	93	39723		1	1	1
94	2	46	94	43212		1	1	1
95	2	47	95	30527		1	1	1
96	2	48	96	35515		1	1	1
97	2	49	97	38026		1	1	1
98	2	50	98	54817		1	1	1
99	2	51	99	45959		1	1	1
100	2	52	100	31730		1	1	1
101	2	53	101	40451		1	1	1
102	2	54	102	53544		1	1	1
103	2	55	103	37197		1	1	1
104	2	56	104	36696		1	1	1
105	2	57	105	37575		1	1	1
106	2	58	106	47168		1	1	1
107	2	59	107	46390		1	1	1
108	2	60	108	48953		1	1	1
109	2	61	109	36439		1	1	1
110	2	62	110	37438		1	1	1
111	2	63	111	37165		1	1	1
112	2	64	112	45557		1	1	1
113	2	65	113	37762		1	1	1
114	2	66	114	36952		1	1	1
115	2	67	115	47807		1	1	1
116	2	68	116	39442		1	1	1
117	2	69	117	38700		1	1	1
118	2	70	118	50764		1	1	1
119	2	71	119	43698		1	1	1
120	2	72	120	31771		1	1	1
121	2	73	121	31206		1	1	1
122	3	2	122	46915		1	1	1
123	3	3	123	31559		1	1	1
124	3	4	124	48064		1	1	1
125	3	5	125	34286		1	1	1
126	3	7	126	33584		1	1	1
127	3	8	127	52693		1	1	1
128	3	9	128	34966		1	1	1
129	3	10	129	40558		1	1	1
130	3	14	130	44145		1	1	1
131	3	17	131	37875		1	1	1
132	3	18	132	43228		1	1	1
133	3	20	133	47523		1	1	1
134	3	23	134	53518		1	1	1
135	3	25	135	46849		1	1	1
136	3	26	136	44890		1	1	1
137	3	27	137	38196		1	1	1
138	3	31	138	41385		1	1	1
139	3	32	139	47586		1	1	1
140	3	33	140	46701		1	1	1
141	3	41	141	54385		1	1	1
142	3	42	142	39234		1	1	1
143	3	49	143	31177		1	1	1
144	3	50	144	54416		1	1	1
145	3	51	145	30170		1	1	1
146	3	53	146	52113		1	1	1
147	3	54	147	38631		1	1	1
148	3	55	148	43501		1	1	1
149	3	56	149	52179		1	1	1
150	3	58	150	40714		1	1	1
151	3	59	151	45406		1	1	1
152	3	60	152	54614		1	1	1
153	3	61	153	32641		1	1	1
154	3	62	154	53814		1	1	1
155	3	63	155	43185		1	1	1
156	3	65	156	39692		1	1	1
157	3	66	157	43610		1	1	1
158	3	68	158	52371		1	1	1
159	3	69	159	46327		1	1	1
160	3	70	160	30212		1	1	1
161	3	72	161	54117		1	1	1
162	3	73	162	42733		1	1	1
163	4	2	163	49152		1	1	1
164	4	6	164	35896		1	1	1
165	4	7	165	53561		1	1	1
166	4	8	166	36067		1	1	1
167	4	9	167	46647		1	1	1
168	4	10	168	35404		1	1	1
169	4	12	169	53958		1	1	1
170	4	13	170	42400		1	1	1
171	4	14	171	38668		1	1	1
172	4	15	172	53526		1	1	1
173	4	16	173	52102		1	1	1
174	4	17	174	44522		1	1	1
175	4	19	175	49292		1	1	1
176	4	21	176	47751		1	1	1
177	4	23	177	44519		1	1	1
178	4	24	178	47678		1	1	1
179	4	26	179	44764		1	1	1
180	4	27	180	54817		1	1	1
181	4	28	181	47329		1	1	1
182	4	29	182	38821		1	1	1
183	4	30	183	44977		1	1	1
184	4	31	184	50140		1	1	1
185	4	32	185	41839		1	1	1
186	4	34	186	33492		1	1	1
187	4	35	187	51024		1	1	1
188	4	36	188	32379		1	1	1
189	4	37	189	31138		1	1	1
190	4	38	190	54820		1	1	1
191	4	39	191	37166		1	1	1
192	4	41	192	30548		1	1	1
193	4	43	193	51825		1	1	1
194	4	44	194	33858		1	1	1
195	4	45	195	44140		1	1	1
196	4	46	196	47296		1	1	1
197	4	47	197	53114		1	1	1
198	4	48	198	36501		1	1	1
199	4	49	199	42245		1	1	1
200	4	50	200	35881		1	1	1
201	4	51	201	54214		1	1	1
