id	connection_id	connection_member_id_1	connection_member_id_2	added_date	privilege	status
1	1	5	2	"2014-01-14 00:00:00"	1	1
2	1	2	5	"2014-01-14 00:00:00"	1	1
3	2	5	2	"2014-01-14 00:00:00"	1	1
4	2	2	5	"2014-01-14 00:00:00"	1	1
5	3	6	2	"2014-01-15 00:00:00"	1	1
6	3	2	6	"2014-01-15 00:00:00"	1	1
7	1	3	2	"2014-01-15 00:00:00"	1	1
8	1	2	3	"2014-01-15 00:00:00"	1	1
9	2	3	2	"2014-01-15 00:00:00"	1	1
10	2	2	3	"2014-01-15 00:00:00"	1	1
11	3	4	2	"2014-01-15 00:00:00"	1	1
12	3	2	4	"2014-01-15 00:00:00"	1	1
13	3	7	2	"2014-01-15 00:00:00"	1	1
14	3	2	7	"2014-01-15 00:00:00"	1	1
15	3	5	2	"2014-01-15 00:00:00"	1	1
16	3	2	5	"2014-01-15 00:00:00"	1	1
