id	question_id	answer	description	type	status
1	1	no			
2	1	yes			
3	2	no			
4	2	yes			
5	3	no			
6	3	yes			
7	4	no			
8	4	yes			
9	5	no			
10	5	yes			
11	6	no			
12	6	yes			
13	7	no			
14	7	yes			
15	8	no			
16	8	yes			
17	9	no			
18	9	yes			
19	10	no			
20	10	yes			
21	11	no			
22	11	yes			
23	12	no			
24	12	yes			
25	13	no			
26	13	yes			
27	14	no			
28	14	yes			
29	15	no			
30	15	yes			
31	16	no			
32	16	yes			
33	17	no			
34	17	yes			
35	18	no			
36	18	yes			
37	19	no			
38	19	yes			
39	20	no			
40	20	yes			
41	21	no			
42	21	yes			
43	22	no			
44	22	yes			
45	23	no			
46	23	yes			
47	24	no			
48	24	yes			
49	25	no			
50	25	yes			
51	26	no			
52	26	yes			
53	27	no			
54	27	yes			
55	28	no			
56	28	yes			
57	29	no			
58	29	yes			
59	30	no			
60	30	yes			
61	31	no			
62	31	yes			
63	32	no			
64	32	yes			
65	33	no			
66	33	yes			
67	34	no			
68	34	yes			
69	35	no			
70	35	yes			
71	36	no			
72	36	yes			
73	37	no			
74	37	yes			
75	38	no			
76	38	yes			
77	39	no			
78	39	yes			
79	40	no			
80	40	yes			
81	41	no			
82	41	yes			
83	42	no			
84	42	yes			
85	43	no			
86	43	yes			
87	44	no			
88	44	yes			
89	45	no			
90	45	yes			
91	46	no			
92	46	yes			
93	47	no			
94	47	yes			
95	48	no			
96	48	yes			
97	49	no			
98	49	yes			
99	50	no			
100	50	yes			
101	51	no			
102	51	yes			
103	52	no			
104	52	yes			
105	53	no			
106	53	yes			
107	54	no			
108	54	yes			
109	55	no			
110	55	yes			
111	56	no			
112	56	yes			
113	57	no			
114	57	yes			
115	58	no			
116	58	yes			
117	59	no			
118	59	yes			
119	60	no			
120	60	yes			
121	61	no			
122	61	yes			
123	62	no			
124	62	yes			
125	63	no			
126	63	yes			
127	64	no			
128	64	yes			
129	65	no			
130	65	yes			
131	66	no			
132	66	yes			
133	67	no			
134	67	yes			
135	68	no			
136	68	yes			
137	69	no			
138	69	yes			
139	70	no			
140	70	yes			
141	71	no			
142	71	yes			
143	72	no			
144	72	yes			
145	73	no			
146	73	yes			
147	74	no			
148	74	yes			
149	75	no			
150	75	yes			
151	76	no			
152	76	yes			
153	77	no			
154	77	yes			
155	78	no			
156	78	yes			
157	79	no			
158	79	yes			
159	80	no			
160	80	yes			
161	81	no			
162	81	yes			
163	82	no			
164	82	yes			
165	83	no			
166	83	yes			
167	84	no			
168	84	yes			
169	85	no			
170	85	yes			
171	86	no			
172	86	yes			
173	87	no			
174	87	yes			
175	88	no			
176	88	yes			
177	89	no			
178	89	yes			
179	90	no			
180	90	yes			
181	91	no			
182	91	yes			
183	92	no			
184	92	yes			
185	93	no			
186	93	yes			
187	94	no			
188	94	yes			
189	95	no			
190	95	yes			
191	96	no			
192	96	yes			
193	97	no			
194	97	yes			
195	98	no			
196	98	yes			
197	99	no			
198	99	yes			
199	100	no			
200	100	yes			
201	101	no			
202	101	yes			
203	102	no			
204	102	yes			
205	103	no			
206	103	yes			
207	104	no			
208	104	yes			
209	105	no			
210	105	yes			
211	106	no			
212	106	yes			
213	107	no			
214	107	yes			
215	108	no			
216	108	yes			
217	109	no			
218	109	yes			
219	110	no			
220	110	yes			
221	111	no			
222	111	yes			
223	112	no			
224	112	yes			
225	113	no			
226	113	yes			
227	114	no			
228	114	yes			
229	115	no			
230	115	yes			
231	116	no			
232	116	yes			
233	117	no			
234	117	yes			
235	118	no			
236	118	yes			
237	119	no			
238	119	yes			
239	120	no			
240	120	yes			
241	121	no			
242	121	yes			
243	122	no			
244	122	yes			
