id	type id	name	skill	description
1	4	Achieved	\N	\N
2	2	Active	\N	"becoming actively involved, stand up"
3	3	Adaptable	\N	"being flexible when things change. manage multiple assignments and tasks, set priorities, adapt to changing conditions, adapt to work assignments. adapting new procedures"
4	4	Adapted	\N	\N
5	3	Add windshield washer fluid	\N	\N
6	4	Addressed	\N	\N
7	4	Administered	\N	\N
8	2	Adventurous	\N	\N
9	4	Advised	\N	\N
10	1	Advising People	\N	\N
11	2	Affectionate	\N	\N
12	2	Aggressive	\N	\N
13	2	Alert	\N	\N
14	2	Ambitious	\N	\N
15	1	Analyze Data Or Facts	\N	\N
16	4	Analyzed	\N	\N
17	1	Analyzing Problems	\N	\N
18	3	Anticipate Needs	\N	\N
19	3	Arrange Social Functions	\N	\N
20	4	Arranged	\N	\N
21	3	Articulate	\N	\N
22	1	Artistic	\N	\N
23	1	Assemble Or Make Things	\N	Alert
24	4	Assembled	\N	\N
25	1	Assembling Apparatus	\N	\N
26	2	Assertive	\N	\N
27	4	Assessed	\N	\N
28	4	Assisted	\N	\N
29	4	Attained	\N	\N
30	2	Attractive	\N	\N
31	1	Audit Records	\N	\N
32	4	Audited	\N	\N
33	1	Auditing Financial Reports	\N	\N
34	1	Balance Money	\N	\N
35	1	Basic Accounting	\N	\N
36	2	Be a Respectful House Guest	\N	\N
37	1	Becoming Actively Involved	\N	\N
38	2	Being Photogenic	\N	\N
39	1	Being Thorough	\N	\N
40	2	Bold	\N	\N
41	2	Broad-Minded	\N	\N
42	4	Budgeted	\N	\N
43	1	Budgeting Expenses	\N	\N
44	3	Build a Fire	\N	\N
45	1	"Build, Observe, Inspect Things"	\N	\N
46	2	Businesslike	\N	\N
47	3	Buy a Woman Clothing	\N	\N
48	1	"Calculate, Compute"	\N	\N
49	4	Calculated	\N	\N
50	1	Calculating Numerical Data	\N	\N
51	2	Calm	\N	\N
52	3	Calm a Crying Baby	\N	\N
53	3	Care For	\N	\N
54	2	Careful	\N	\N
55	3	Caring	\N	\N
56	3	Carve a Turkey	\N	\N
57	2	Cautious	\N	\N
58	3	Change a tire	\N	\N
59	3	Change oil	\N	\N
60	2	Charming	\N	\N
61	3	Check coolant level	\N	\N
62	3	Check tire pressure	\N	\N
63	1	Checking For Accuracy	\N	\N
64	2	Cheerful	\N	\N
65	4	Classified	\N	\N
66	1	Classify Data	\N	\N
67	1	Classifying Records	\N	\N
68	2	Clear-Thinking	\N	\N
69	2	Clever	\N	\N
70	4	Coached	\N	\N
71	1	Coaching Individuals	\N	\N
72	1	Collaborating Ideas	\N	\N
73	4	Collected	\N	\N
74	1	Collecting Money	\N	\N
75	3	Comfort a Crying Woman	\N	\N
