id	type id		skill	description	creator_id	used	gained	learning
1	7	1000 subscribers to my blogs	\N	\N	1	0	0	0
2	3	3d printing	\N	\N	1	0	0	0
3	3	a vintage scrapbook	\N	\N	1	0	0	0
4	3	ability to delegate	\N	\N	1	0	0	0
5	3	ability to learn 	\N	\N	1	0	0	0
6	3	ability to work under pressure 	\N	\N	1	0	0	0
7	3	aboriginal and torres strait islander health worker	\N	\N	1	0	0	0
8	3	accept responsibility	\N	\N	1	0	0	0
9	3	accommodation and hospitality managers	\N	\N	1	0	0	0
10	3	accountant (general)	\N	\N	1	0	0	0
11	3	accounting	\N	\N	1	0	0	0
12	3	accounts payable	\N	\N	1	0	0	0
13	3	accounts receivable	\N	\N	1	0	0	0
14	3	accuracy	\N	\N	1	0	0	0
15	3	"accurate: careful, precise, free from error."	\N	\N	1	0	0	0
16	2	active	\N	"becoming actively involved, stand up"	1	0	0	0
17	3	actor	\N	\N	1	0	0	0
18	3	"actors, dancers and other entertainers"	\N	\N	1	0	0	0
19	3	actuary	\N	\N	1	0	0	0
20	3	acupuncturist	\N	\N	1	0	0	0
21	3	adapt to changing situations	\N	\N	1	0	0	0
22	3	adaptability 	\N	\N	1	0	0	0
23	3	adaptable	\N	"being flexible when things change. manage multiple assignments and tasks, set priorities, adapt to changing conditions, adapt to work assignments. adapting new procedures"	1	0	0	0
24	3	adaptable: able to adapt oneself to new surroundings; to make suitable change so as to fit new conditions.	\N	\N	1	0	0	0
25	3	add windshield washer fluid	\N	\N	1	0	0	0
26	3	administering medication 	\N	\N	1	0	0	0
27	3	adobe illustrator	\N	\N	1	0	0	0
28	3	adobe indesign	\N	\N	1	0	0	0
29	3	adobe photoshop	\N	\N	1	0	0	0
30	2	adventurous	\N	\N	1	0	0	0
31	3	advertising and public relations	\N	\N	1	0	0	0
32	3	advertising manager	\N	\N	1	0	0	0
33	3	advertising specialist	\N	\N	1	0	0	0
34	1	advising people	\N	\N	1	0	0	0
35	3	aeronautical engineer	\N	\N	1	0	0	0
36	3	aeroplane pilot	\N	\N	1	0	0	0
37	2	affectionate	\N	\N	1	0	0	0
38	2	aggressive	\N	\N	1	0	0	0
39	3	agricultural consultant	\N	\N	1	0	0	0
40	3	agricultural engineer	\N	\N	1	0	0	0
41	3	agricultural scientist	\N	\N	1	0	0	0
42	3	agricultural technician	\N	\N	1	0	0	0
43	3	air sports	\N	\N	1	0	0	0
44	3	air traffic controller	\N	\N	1	0	0	0
45	3	air transport professionals nec	\N	\N	1	0	0	0
46	3	airconditioning and mechanical services plumber	\N	\N	1	0	0	0
47	3	airconditioning and refrigeration mechanic	\N	\N	1	0	0	0
48	3	aircraft maintenance engineer (avionics)	\N	\N	1	0	0	0
49	3	aircraft maintenance engineer (mechanical)	\N	\N	1	0	0	0
50	3	aircraft maintenance engineer (structures)	\N	\N	1	0	0	0
51	3	aircraft spotting	\N	\N	1	0	0	0
52	3	airsoft	\N	\N	1	0	0	0
53	2	alert	\N	\N	1	0	0	0
54	3	"alert: watchful, wide awake, ready to act."	\N	\N	1	0	0	0
55	3	amateur astronomy	\N	\N	1	0	0	0
56	3	amateur geology	\N	\N	1	0	0	0
57	3	amateur radio	\N	\N	1	0	0	0
58	2	ambitious	\N	\N	1	0	0	0
59	3	"ambitious: full of ambition, strong desire to do something."	\N	\N	1	0	0	0
60	3	ambulance officer	\N	\N	1	0	0	0
61	3	american football	\N	\N	1	0	0	0
62	3	amiable: feeling and inspiring friendliness; lovable.	\N	\N	1	0	0	0
63	3	amusement centre manager	\N	\N	1	0	0	0
64	3	anaesthetist	\N	\N	1	0	0	0
65	3	analyst programmer	\N	\N	1	0	0	0
66	3	analytical skills	\N	\N	1	0	0	0
67	3	analytical: employing analytic methods; separating things into their parts of elements.	\N	\N	1	0	0	0
68	3	analytics	\N	\N	1	0	0	0
